EQPT_ID,OPERATING_MODE,CHAMBER_KEY,THP_FACTOR
EQ_WAFER_265,*,010000000000000000,50
EQ_WAFER_372,*,110000000000000000,100
EQ_WAFER_372,*,100000000000000000,50
EQ_WAFER_372,*,010000000000000000,50
EQ_WAFER_371,REC_WAFER_88,110000000000000000,100
EQ_WAFER_371,REC_WAFER_88,100000000000000000,50
EQ_WAFER_371,REC_WAFER_88,010000000000000000,50
EQ_WAFER_371,REC_WAFER_85,110000000000000000,100
EQ_WAFER_371,REC_WAFER_85,100000000000000000,50
EQ_WAFER_371,REC_WAFER_85,010000000000000000,50
EQ_WAFER_371,REC_WAFER_68,110000000000000000,100
EQ_WAFER_371,REC_WAFER_68,100000000000000000,50
EQ_WAFER_371,REC_WAFER_68,010000000000000000,50
EQ_WAFER_371,REC_WAFER_65,110000000000000000,100
EQ_WAFER_371,REC_WAFER_65,100000000000000000,50
EQ_WAFER_371,REC_WAFER_65,010000000000000000,50
EQ_WAFER_371,REC_WAFER_62,110000000000000000,100
EQ_WAFER_371,REC_WAFER_62,100000000000000000,50
EQ_WAFER_371,REC_WAFER_62,010000000000000000,50
EQ_WAFER_371,*,110000000000000000,100
EQ_WAFER_371,*,100000000000000000,50
EQ_WAFER_371,*,010000000000000000,50
EQ_WAFER_370,REC_WAFER_91,110000000000000000,100
EQ_WAFER_370,REC_WAFER_91,100000000000000000,50
EQ_WAFER_370,REC_WAFER_91,010000000000000000,50
EQ_WAFER_370,REC_WAFER_85,110000000000000000,100
EQ_WAFER_370,REC_WAFER_85,100000000000000000,50
EQ_WAFER_370,REC_WAFER_85,010000000000000000,50
EQ_WAFER_370,REC_WAFER_68,110000000000000000,100
EQ_WAFER_370,REC_WAFER_68,100000000000000000,50
EQ_WAFER_370,REC_WAFER_68,010000000000000000,50
EQ_WAFER_370,REC_WAFER_65,110000000000000000,100
EQ_WAFER_370,REC_WAFER_65,100000000000000000,50
EQ_WAFER_370,REC_WAFER_65,010000000000000000,50
EQ_WAFER_370,REC_WAFER_62,110000000000000000,100
EQ_WAFER_370,REC_WAFER_62,100000000000000000,50
EQ_WAFER_370,REC_WAFER_62,010000000000000000,50
EQ_WAFER_370,*,110000000000000000,100
EQ_WAFER_370,*,100000000000000000,50
EQ_WAFER_370,*,010000000000000000,50
EQ_WAFER_369,REC_WAFER_85,110000000000000000,100
EQ_WAFER_369,REC_WAFER_85,100000000000000000,50
EQ_WAFER_369,REC_WAFER_85,010000000000000000,50
EQ_WAFER_369,REC_WAFER_65,110000000000000000,100
EQ_WAFER_369,REC_WAFER_65,100000000000000000,50
EQ_WAFER_369,REC_WAFER_65,010000000000000000,50
EQ_WAFER_369,*,110000000000000000,100
EQ_WAFER_369,*,100000000000000000,50
EQ_WAFER_369,*,010000000000000000,50
EQ_WAFER_368,REC_WAFER_91,110000000000000000,100
EQ_WAFER_368,REC_WAFER_91,100000000000000000,50
EQ_WAFER_368,REC_WAFER_91,010000000000000000,50
EQ_WAFER_368,REC_WAFER_88,110000000000000000,100
EQ_WAFER_368,REC_WAFER_88,100000000000000000,50
EQ_WAFER_368,REC_WAFER_88,010000000000000000,50
EQ_WAFER_368,REC_WAFER_85,110000000000000000,100
EQ_WAFER_368,REC_WAFER_85,100000000000000000,50
EQ_WAFER_368,REC_WAFER_85,010000000000000000,50
EQ_WAFER_368,REC_WAFER_68,110000000000000000,100
EQ_WAFER_368,REC_WAFER_68,100000000000000000,50
EQ_WAFER_368,REC_WAFER_68,010000000000000000,50
EQ_WAFER_368,REC_WAFER_65,110000000000000000,100
EQ_WAFER_368,REC_WAFER_65,100000000000000000,50
EQ_WAFER_368,REC_WAFER_65,010000000000000000,50
EQ_WAFER_368,REC_WAFER_62,110000000000000000,100
EQ_WAFER_368,REC_WAFER_62,100000000000000000,50
EQ_WAFER_368,REC_WAFER_62,010000000000000000,50
EQ_WAFER_368,*,110000000000000000,100
EQ_WAFER_368,*,100000000000000000,50
EQ_WAFER_368,*,010000000000000000,50
EQ_WAFER_116,REC_WAFER_607,110000000000000000,100
EQ_WAFER_116,REC_WAFER_607,100000000000000000,50
