FAB,ROUTE,STEP,SUB_STEP,ALTERNATIVE_NO,RATE_TO_ALTERNATIVE,EQPT_GROUP_NAME,RECIPE,SETUP,BATCH_SETUP,SAMPLING_RATE,SAMPLING_RATE_DIST,SAMPLING_SIZE,REWORK_RATE,REWORK_RATE_DIST,REWORK_ROUTE,REWORK_STEP,REWORK_RETURN_ROUTE,REWORK_RETURN_STEP,SPLIT_RATE,SPLIT_RATE_DIST,SPLIT_SIZE,MERGE_STEP,HOLD_RATE,HOLD_RATE_DIST,HOLD_DURATION,SCRAP_RATE,SCRAP_RATE_DIST,SCRAP_SIZE,STANDARD_LEAD_TIME,ODD,STAGE,MASK_LAYER,RTD_VAR,STATS_VAR_1,STATS_VAR_2,STATS_VAR_3,BRANCH_OPTION,BRANCH_GROUP,BRANCH_RATE,OPERATION_SEQ_NR,WORK_CENTER,OPTIONAL_STEP,NOT_VALID_OP,SPS_MAIN_FLAG
SIMTECH,ROUTE_15,OP_2,2,0,,EG_LOT_4,REC_LOT_121_1,REC_LOT_121_1,REC_LOT_121_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.15296,8020.799805,OP_2,0,0,ROUTE_15|MET_27|2,,,,,,2,MET_27,0,0,0
SIMTECH,ROUTE_15,OP_2,3,0,,EG_LOT_28,REC_LOT_232_1,REC_LOT_232_1,REC_LOT_232_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.82304,8020.799805,OP_2,0,0,ROUTE_15|MET_40|2,,,,,,2,MET_40,0,0,1
SIMTECH,ROUTE_15,OP_3,1,0,,EG_WAFER_87,REC_WAFER_190,REC_WAFER_190,REC_WAFER_190,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,4.956,7704.000001,OP_3,0,0,ROUTE_15|PHT_12|3,,,,,,3,PHT_12,0,0,1
SIMTECH,ROUTE_15,OP_4,1,0,,EG_WAFER_87,REC_WAFER_224,REC_WAFER_224,REC_WAFER_224,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,4.872,7401.59961,OP_4,0,0,ROUTE_15|PHT_12|4,,,,,,4,PHT_12,0,0,1
SIMTECH,ROUTE_15,OP_5,1,0,,EG_WAFER_88,REC_WAFER_575,REC_WAFER_575,REC_WAFER_575,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.09504,7113.59961,OP_5,1,0,ROUTE_15|PHT_13|5,,,,,,5,PHT_13,0,0,1
SIMTECH,ROUTE_15,OP_6,1,0,,EG_WAFER_87,REC_WAFER_257,REC_WAFER_257,REC_WAFER_257,1,1,,0,0,,,,,0.2,1,6,OP_7,0,0,0,0,0,0,3.55392,6926.399415,OP_6,1,0,ROUTE_15|PHT_12|6,,,,,,6,PHT_12,0,0,1
SIMTECH,ROUTE_15,OP_7,1,0,,EG_LOT_6,REC_LOT_61,REC_LOT_61,REC_LOT_61,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.15296,6710.399415,OP_7,1,0,ROUTE_15|MET_36|7,,,,,,7,MET_36,0,0,1
SIMTECH,ROUTE_15,OP_8,1,0,,EG_BATCH_14,REC_BATCH_203,REC_BATCH_203,REC_BATCH_203,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,15.85848,6652.799805,OP_8,1,0,ROUTE_15|OVN_32|8,,,,,,8,OVN_32,0,0,1
SIMTECH,ROUTE_15,OP_9,1,1,,EG_LOT_7,REC_LOT_77,REC_LOT_77,REC_LOT_77,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.65368,6652.799805,OP_9,1,0,ROUTE_15|MET_36|9,,,,,,9,MET_36,0,0,1
SIMTECH,ROUTE_15,OP_10,1,0,,EG_WAFER_93,REC_WAFER_494,REC_WAFER_494,REC_WAFER_494,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.37112,6479.999024,OP_10,1,0,ROUTE_15|MET_34|10,,,,,,10,MET_34,0,0,1
SIMTECH,ROUTE_15,OP_11,1,0,,EG_LOT_3,REC_LOT_280,REC_LOT_280,REC_LOT_280,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0.71904,6407.999512,OP_11,1,0,ROUTE_15|PROC_8|11,,,,,,11,PROC_8,0,0,0
SIMTECH,ROUTE_15,OP_11,2,0,,EG_WAFER_20,REC_WAFER_890,REC_WAFER_890,REC_WAFER_890,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.98592,6407.999512,OP_11,1,0,ROUTE_15|ETCH_1|11,,,,,,11,ETCH_1,0,0,1
SIMTECH,ROUTE_15,OP_12,1,0,,EG_LOT_7,REC_LOT_84,REC_LOT_84,REC_LOT_84,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.3368,6119.999024,OP_12,1,0,ROUTE_15|MET_36|12,,,,,,12,MET_36,0,0,1
SIMTECH,ROUTE_15,OP_13,1,0,,EG_WAFER_93,REC_WAFER_494_1,REC_WAFER_494_1,REC_WAFER_494_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.37112,6047.999512,OP_13,1,0,ROUTE_15|MET_34|13,,,,,,13,MET_34,0,0,1
SIMTECH,ROUTE_15,OP_14,1,0,,EG_WAFER_26,REC_WAFER_264_1,REC_WAFER_264_1,REC_WAFER_264_1,1,1,,0.83,1,,,,,0,0,0,,0,0,0,0,0,0,7.31184,5961.59961,OP_14,1,0,ROUTE_15|MET_13|14,,,,,,14,MET_13,0,0,0
SIMTECH,ROUTE_15,OP_14,2,0,,EG_WAFER_65,REC_WAFER_94,REC_WAFER_94,REC_WAFER_94,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,8.94144,5961.59961,OP_14,1,0,ROUTE_15|DEP_12|14,,,,,,14,DEP_12,0,0,1
SIMTECH,ROUTE_15,OP_14,3,0,,EG_WAFER_26,REC_WAFER_294,REC_WAFER_294,REC_WAFER_294,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.17152,5961.59961,OP_14,1,0,ROUTE_15|MET_13|14,,,,,,14,MET_13,0,0,0
SIMTECH,ROUTE_15,OP_15,1,0,,EG_WAFER_87,REC_WAFER_713_2,REC_WAFER_713_2,REC_WAFER_713_2,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.53064,4852.799805,OP_15,1,0,ROUTE_15|PHT_1|15,,,,,,15,PHT_1,0,0,1
SIMTECH,ROUTE_15,OP_16,1,0,,EG_WAFER_88,REC_WAFER_8_2,REC_WAFER_8_2,REC_WAFER_8_2,1,1,,0.08,1,,,,,0,0,0,,0,0,0,0,0,0,2.91864,4636.799805,OP_16,2,0,ROUTE_15|PHT_13|16,,,,,,16,PHT_13,0,0,1
SIMTECH,ROUTE_15,OP_17,1,0,,EG_WAFER_87,REC_WAFER_30_1,REC_WAFER_30_1,REC_WAFER_30_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,4.18488,4464,OP_17,2,0,ROUTE_15|PHT_1|17,,,,,,17,PHT_1,0,0,1
SIMTECH,ROUTE_15,OP_18,1,0,,EG_LOT_7,REC_LOT_90_1,REC_LOT_90_1,REC_LOT_90_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.37112,4219.199707,OP_18,2,0,ROUTE_15|MET_36|18,,,,,,18,MET_36,0,0,1
SIMTECH,ROUTE_15,OP_19,2,0,,EG_BATCH_19,REC_BATCH_174,REC_BATCH_174,REC_BATCH_174,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.80592,4219.199707,OP_19,2,0,ROUTE_15|WET_1|19,,,,,,19,WET_1,0,0,1
SIMTECH,ROUTE_15,OP_20,1,0,,EG_BATCH_20,REC_BATCH_214_1,REC_BATCH_214_1,REC_BATCH_214_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.80592,3960,OP_20,2,0,ROUTE_15|WET_22|20,,,,,,20,WET_22,0,0,1
SIMTECH,ROUTE_15,OP_20,2,0,,EG_WAFER_26,REC_WAFER_200_2,REC_WAFER_200_2,REC_WAFER_200_2,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0.48768,3960,OP_20,2,0,ROUTE_15|MET_13|20,,,,,,20,MET_13,0,0,0
SIMTECH,ROUTE_15,OP_21,1,0,,EG_WAFER_26,REC_WAFER_166_3,REC_WAFER_166_3,REC_WAFER_166_3,1,1,,0.73,1,,,,,0,0,0,,0,0,0,0,0,0,0.48768,3700.799804,OP_21,2,0,ROUTE_15|MET_13|21,,,,,,21,MET_13,0,0,0
SIMTECH,ROUTE_15,OP_21,2,0,,EG_BATCH_21,REC_BATCH_242_2,REC_BATCH_242_2,REC_BATCH_242_2,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.15216,3700.799804,OP_21,2,0,ROUTE_15|WET_23|21,,,,,,21,WET_23,0,0,1
SIMTECH,ROUTE_15,OP_21,3,0,,EG_WAFER_26,REC_WAFER_200_3,REC_WAFER_200_3,REC_WAFER_200_3,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,0.48768,3700.799804,OP_21,2,0,ROUTE_15|MET_13|21,,,,,,21,MET_13,0,0,0
SIMTECH,ROUTE_15,OP_22,1,0,,EG_WAFER_87,REC_WAFER_713_3,REC_WAFER_713_3,REC_WAFER_713_3,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.53064,3456,OP_22,2,0,ROUTE_15|PHT_1|22,,,,,,22,PHT_1,0,0,1
SIMTECH,ROUTE_15,OP_23,1,0,,EG_WAFER_88,REC_WAFER_8_3,REC_WAFER_8_3,REC_WAFER_8_3,1,1,,0.08,1,,,,,0,0,0,,0,0,0,0,0,0,2.91864,3240,OP_23,3,0,ROUTE_15|PHT_13|23,,,,,,23,PHT_13,0,0,1
SIMTECH,ROUTE_15,OP_24,1,0,,EG_WAFER_87,REC_WAFER_74_1,REC_WAFER_74_1,REC_WAFER_74_1,1,1,,0.09,1,,,,,0,0,0,,0,0,0,0,0,0,4.18488,3067.199707,OP_24,3,0,ROUTE_15|PHT_1|24,,,,,,24,PHT_1,0,0,1
SIMTECH,ROUTE_15,OP_25,1,0,,EG_LOT_7,REC_LOT_95_1,REC_LOT_95_1,REC_LOT_95_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.37112,2822.399902,OP_25,3,0,ROUTE_15|MET_36|25,,,,,,25,MET_36,0,0,1
SIMTECH,ROUTE_15,OP_26,1,0,,EG_WAFER_93,REC_WAFER_494_2,REC_WAFER_494_2,REC_WAFER_494_2,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.37112,2735.999756,OP_26,3,0,ROUTE_15|MET_34|26,,,,,,26,MET_34,0,0,1
SIMTECH,ROUTE_15,OP_27,1,0,,EG_WAFER_20,REC_WAFER_893,REC_WAFER_893,REC_WAFER_893,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,3.98592,2664,OP_27,3,0,ROUTE_15|ETCH_1|27,,,,,,27,ETCH_1,0,0,1
SIMTECH,ROUTE_15,OP_27,2,0,,EG_LOT_7,REC_LOT_84_1,REC_LOT_84_1,REC_LOT_84_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.3368,2664,OP_27,3,0,ROUTE_15|MET_36|27,,,,,,27,MET_36,0,0,0
SIMTECH,ROUTE_15,OP_28,2,0,,EG_BATCH_21,REC_BATCH_269,REC_BATCH_269,REC_BATCH_269,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,4.25064,2664,OP_28,3,0,ROUTE_15|WET_23|28,,,,,,28,WET_23,0,0,1
SIMTECH,ROUTE_15,OP_28,3,0,,EG_WAFER_26,REC_WAFER_128_1,REC_WAFER_128_1,REC_WAFER_128_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,2.17152,2664,OP_28,3,0,ROUTE_15|MET_13|28,,,,,,28,MET_13,0,0,0
SIMTECH,ROUTE_15,OP_28,4,0,,EG_LOT_7,REC_LOT_100_1,REC_LOT_100_1,REC_LOT_100_1,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,1.37112,2664,OP_28,3,0,ROUTE_15|MET_36|28,,,,,,28,MET_36,0,0,0
SIMTECH,ROUTE_15,OP_29,1,0,,EG_WAFER_93,REC_WAFER_493,REC_WAFER_493,REC_WAFER_493,1,1,,0,0,,,,,0.25,1,12,,0,0,0,0,0,0,2.1156,1756.800049,OP_29,3,0,ROUTE_15|MET_41|29,,,,,,29,MET_41,0,0,0
SIMTECH,ROUTE_15,OP_30,1,0,,EG_WAFER_32,REC_WAFER_402,REC_WAFER_402,REC_WAFER_402,1,1,,0,0,,,,,0,0,0,,0,0,0,0,0,0,4.872,1468.800049,OP_30,3,0,ROUTE_15|PROC_10|30,,,,,,30,PROC_10,0,0,1
