FAB,EQPT_ID,EQPT_GROUP_NAME,RECIPE,PRODUCT,FULL_RAW_PROCESS_TIME_IN_MINS,HALF_RAW_PROCESS_TIME_IN_MINS,FULL_INTERVAL_IN_MINS,HALF_INTERVAL_IN_MINS,FULL_RAW_PROCESS_TIME_DIST,HALF_RAW_PROCESS_TIME_DIST,STAGE
SIMTECH,EQ_BATCH_371,,REC_BATCH_174,*,62.5,,62.5,,,,*
SIMTECH,EQ_BATCH_371,,*,*,93.75,,35.69,,,,*
SIMTECH,EQ_BATCH_372,,REC_BATCH_214,*,58,,15,,,,*
SIMTECH,EQ_BATCH_372,,*,*,58,,15,,,,*
SIMTECH,EQ_LOT_134,,REC_LOT_19,*,54.75,,54.75,,,,*
SIMTECH,EQ_LOT_134,,*,*,55.34,,55.34,,,,*
SIMTECH,EQ_LOT_135,,REC_LOT_19,*,54.75,,54.75,,,,*
SIMTECH,EQ_LOT_135,,*,*,55.86,,55.86,,,,*
SIMTECH,EQ_WAFER_415,,REC_WAFER_586,*,94,,70.25,,,,*
SIMTECH,EQ_WAFER_415,,REC_WAFER_663,*,94,,70.25,,,,*
SIMTECH,EQ_WAFER_415,,REC_WAFER_126,*,83,,69.25,,,,*
SIMTECH,EQ_WAFER_415,,REC_WAFER_164,*,98,,71,,,,*
SIMTECH,EQ_WAFER_415,,REC_WAFER_198,*,94,,37.5,,,,*
SIMTECH,EQ_WAFER_415,,*,*,90.67,,68,,,,*
SIMTECH,EQ_WAFER_416,,REC_WAFER_126,*,83,,69.25,,,,*
SIMTECH,EQ_WAFER_416,,REC_WAFER_164,*,98,,71,,,,*
SIMTECH,EQ_WAFER_416,,REC_WAFER_198,*,94,,37.5,,,,*
SIMTECH,EQ_WAFER_416,,*,*,90.25,,66.56,,,,*
SIMTECH,EQ_BATCH_373,,REC_BATCH_242,*,61,,61,,,,*
SIMTECH,EQ_BATCH_373,,REC_BATCH_269,*,99.5,,99.5,,,,*
SIMTECH,EQ_BATCH_373,,*,*,74.13,,70.75,,,,*
SIMTECH,EQ_LOT_136,,REC_BATCH_242,*,61,,61,,,,*
SIMTECH,EQ_LOT_136,,REC_BATCH_269,*,99.5,,99.5,,,,*
SIMTECH,EQ_LOT_136,,*,*,74.13,,65.25,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_337,*,111,,49,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_397,*,115,,52.83,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_468,*,93,,41.75,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_476,*,80,,37,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_502,*,53,,30.33,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_509,*,80,,53.63,,,,*
SIMTECH,EQ_WAFER_103,,REC_WAFER_530,*,115,,25.33,,,,*
SIMTECH,EQ_WAFER_103,,*,*,101.25,,49.14,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_337,*,111,,49,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_397,*,115,,52.83,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_417,*,120,,55.33,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_427,*,75,,31,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_436,*,85,,72.67,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_468,*,93,,41.75,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_476,*,80,,37,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_502,*,53,,30.33,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_509,*,80,,35.75,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_516,*,161,,28.58,,,,*
SIMTECH,EQ_WAFER_104,,REC_WAFER_530,*,115,,25.33,,,,*
SIMTECH,EQ_WAFER_104,,*,*,104.63,,40.21,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_337,*,111,,49,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_397,*,115,,79.25,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_444,*,129,,81.25,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_452,*,76,,40.17,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_460,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_516,*,161,,28.58,,,,*
SIMTECH,EQ_WAFER_105,,REC_WAFER_530,*,115,,38,,,,*
SIMTECH,EQ_WAFER_105,,*,*,104.56,,43.5,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_337,*,111,,49,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_444,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_452,*,76,,40.17,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_460,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_516,*,49,,28.58,,,,*
SIMTECH,EQ_WAFER_106,,REC_WAFER_530,*,115,,25.33,,,,*
SIMTECH,EQ_WAFER_106,,*,*,97.75,,37.97,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_337,*,111,,49,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_397,*,115,,52.83,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_417,*,120,,55.33,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_427,*,75,,31,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_436,*,85,,72.67,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_444,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_452,*,76,,60.25,,,,*
