EQPT_ID,CHAMBER,START_TIME,END_TIME,MTTF_IN_MINS,MTTR_IN_MINS,MTTF_DIST,MTTR_DIST,OP_GROUP,OP_DOWN_FRACTION,OP_DOWN_QTY,DOWN_TYPE,REMARK
EQ_WAFER_108,A,18/9/2020 23:39:14,13/11/2020 23:39:14,19528.2,511.2,EQ_WAFER_108_A_UD_MTTF,EQ_WAFER_108_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_108,B,18/9/2020 23:39:14,13/11/2020 23:39:14,30927,449.4,EQ_WAFER_108_B_UD_MTTF,EQ_WAFER_108_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_108,C,18/9/2020 23:39:14,13/11/2020 23:39:14,35568,1723.2,EQ_WAFER_108_C_UD_MTTF,EQ_WAFER_108_C_UD_MTTR,0,0,0,UD,
EQ_WAFER_108,,18/9/2020 23:39:14,13/11/2020 23:39:14,7212.6,293.4,EQ_WAFER_108_UD_MTTF,EQ_WAFER_108_UD_MTTR,0,0,0,UD,
EQ_WAFER_109,A,18/9/2020 23:39:14,13/11/2020 23:39:14,43928.4,240.6,EQ_WAFER_109_A_UD_MTTF,EQ_WAFER_109_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_109,B,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_109,C,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,0,0,0,0,0,UD,
EQ_WAFER_109,,18/9/2020 23:39:14,13/11/2020 23:39:14,6385.8,48.6,EQ_WAFER_109_UD_MTTF,EQ_WAFER_109_UD_MTTR,0,0,0,UD,
EQ_WAFER_110,A,18/9/2020 23:39:14,13/11/2020 23:39:14,14773.2,436.2,EQ_WAFER_110_A_UD_MTTF,EQ_WAFER_110_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_110,B,18/9/2020 23:39:14,13/11/2020 23:39:14,11631,1102.8,EQ_WAFER_110_B_UD_MTTF,EQ_WAFER_110_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_110,C,18/9/2020 23:39:14,13/11/2020 23:39:14,18618.6,520.2,EQ_WAFER_110_C_UD_MTTF,EQ_WAFER_110_C_UD_MTTR,0,0,0,UD,
EQ_WAFER_110,,18/9/2020 23:39:14,13/11/2020 23:39:14,1563,139.8,EQ_WAFER_110_UD_MTTF,EQ_WAFER_110_UD_MTTR,0,0,0,UD,
EQ_WAFER_111,A,18/9/2020 23:39:14,13/11/2020 23:39:14,21560.4,347.4,EQ_WAFER_111_A_UD_MTTF,EQ_WAFER_111_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_111,B,18/9/2020 23:39:14,13/11/2020 23:39:14,21381,478.2,EQ_WAFER_111_B_UD_MTTF,EQ_WAFER_111_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_111,C,18/9/2020 23:39:14,13/11/2020 23:39:14,21820.8,781.2,EQ_WAFER_111_C_UD_MTTF,EQ_WAFER_111_C_UD_MTTR,0,0,0,UD,
EQ_WAFER_111,,18/9/2020 23:39:14,13/11/2020 23:39:14,4666.2,128.4,EQ_WAFER_111_UD_MTTF,EQ_WAFER_111_UD_MTTR,0,0,0,UD,
EQ_WAFER_112,A,18/9/2020 23:39:14,13/11/2020 23:39:14,24377.4,733.8,EQ_WAFER_112_A_UD_MTTF,EQ_WAFER_112_A_UD_MTTR,0,0,0,UD,
EQ_WAFER_112,B,18/9/2020 23:39:14,13/11/2020 23:39:14,17137.2,645.6,EQ_WAFER_112_B_UD_MTTF,EQ_WAFER_112_B_UD_MTTR,0,0,0,UD,
EQ_WAFER_112,C,18/9/2020 23:39:14,13/11/2020 23:39:14,22595.4,602.4,EQ_WAFER_112_C_UD_MTTF,EQ_WAFER_112_C_UD_MTTR,0,0,0,UD,
EQ_WAFER_112,,18/9/2020 23:39:14,13/11/2020 23:39:14,4320,60,EQ_WAFER_112_UD_MTTF,EQ_WAFER_112_UD_MTTR,0,0,0,UD,
