EQPT_ID,CHAMBER,START_TIME,SCHEDULED_START,LATEST_START,DURATION_IN_MINS,OP_GROUP,OP_DOWN_FRACTION,OP_DOWN_QTY,DOWN_TYPE,REMARK
EQ_WAFER_638,,18/9/2020 23:39:14,,,63,,,,SD,
EQ_WAFER_646,,18/9/2020 23:39:14,,,58.2,,,,SD,
EQ_LOT_37,,18/9/2020 23:39:14,,,56.4,,,,SD,
EQ_WAFER_289,,18/9/2020 23:39:14,,,36.6,,,,SD,
EQ_LOT_45,,18/9/2020 23:39:14,,,120,,,,SD,
EQ_LOT_61,,18/9/2020 23:39:14,,,126.6,,,,SD,
EQ_LOT_127,,18/9/2020 23:39:14,,,78,,,,SD,
EQ_WAFER_256,,18/9/2020 23:39:14,,,180,,,,SD,
EQ_LOT_53,,18/9/2020 23:39:14,,,171.6,,,,SD,
EQ_LOT_54,,18/9/2020 23:39:14,,,104.4,,,,SD,
EQ_WAFER_94,A,18/9/2020 23:39:14,,,49.2,,,,SD,
EQ_WAFER_96,C,18/9/2020 23:39:14,,,39,,,,ENG,
EQ_WAFER_100,B,18/9/2020 23:39:14,,,95.4,,,,ENG,
EQ_WAFER_101,C,18/9/2020 23:39:14,,,32.4,,,,SD,
EQ_WAFER_623,1,18/9/2020 23:39:14,,,63.6,,,,SD,
EQ_WAFER_623,5,18/9/2020 23:39:14,,,63.6,,,,SD,
EQ_WAFER_623,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_623,,18/9/2020 23:39:14,,,12480,,,,SD,
EQ_WAFER_627,1,18/9/2020 23:39:14,,,72.6,,,,SD,
EQ_WAFER_627,3,18/9/2020 23:39:14,,,72.6,,,,SD,
EQ_WAFER_627,4,18/9/2020 23:39:14,,,72.6,,,,SD,
EQ_WAFER_627,5,18/9/2020 23:39:14,,,72.6,,,,SD,
EQ_WAFER_627,6,18/9/2020 23:39:14,,,72.6,,,,SD,
EQ_WAFER_627,,18/9/2020 23:39:14,,,72.6,,,,SD,
EQ_WAFER_628,5,18/9/2020 23:39:14,,,55.2,,,,SD,
EQ_WAFER_628,,18/9/2020 23:39:14,,,55.2,,,,SD,
EQ_WAFER_630,2,18/9/2020 23:39:14,,,78.6,,,,UD,
EQ_WAFER_58,2,18/9/2020 23:39:14,,,40.2,,,,SD,
EQ_WAFER_58,E,18/9/2020 23:39:14,,,40.2,,,,NST,
EQ_WAFER_59,2,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_59,2,18/9/2020 23:39:14,,,12480,,,,ENG,
EQ_WAFER_59,3,18/9/2020 23:39:14,,,46.2,,,,NST,
EQ_WAFER_60,2,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_60,2,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_61,1,18/9/2020 23:39:14,,,28.8,,,,ENG,
