EQPT_ID,POLICY,RANK
EQ_WAFER_180,PrioritizeRocketLot,5
EQ_WAFER_180,PrioritizeHotLot,6
EQ_WAFER_180,PrioritizeRework,9
EQ_WAFER_180,PrioritizeLongWait,10
EQ_WAFER_180,PrioritizeStepDue,12
EQ_WAFER_181,PrioritizeQueueTimeConstraint,1
EQ_WAFER_181,PrioritizeRocketLot,5
EQ_WAFER_181,PrioritizeHotLot,6
EQ_WAFER_181,PrioritizeRework,9
EQ_WAFER_181,PrioritizeLongWait,10
EQ_WAFER_181,PrioritizeStepDue,12
EQ_WAFER_182,PrioritizeQueueTimeConstraint,1
EQ_WAFER_182,PrioritizeRocketLot,5
EQ_WAFER_182,PrioritizeHotLot,6
EQ_WAFER_182,PrioritizeRework,9
EQ_WAFER_182,PrioritizeLongWait,10
EQ_WAFER_182,PrioritizeStepDue,12
EQ_BATCH_371,PrioritizeQueueTimeConstraint,1
EQ_BATCH_371,PrioritizeRocketLot,5
EQ_BATCH_371,PrioritizeHotLot,6
EQ_BATCH_371,PrioritizeRework,9
EQ_BATCH_371,PrioritizeLongWait,10
EQ_BATCH_372,PrioritizeQueueTimeConstraint,1
EQ_BATCH_372,PrioritizeRocketLot,5
EQ_BATCH_372,PrioritizeHotLot,6
EQ_BATCH_372,PrioritizeRework,9
EQ_BATCH_372,PrioritizeLongWait,10
EQ_LOT_134,PrioritizeQueueTimeConstraint,1
EQ_LOT_134,PrioritizeRocketLot,5
EQ_LOT_134,PrioritizeHotLot,6
EQ_LOT_134,PrioritizeRework,9
EQ_LOT_134,PrioritizeLongWait,10
EQ_LOT_134,PrioritizeStepDue,12
EQ_LOT_135,PrioritizeQueueTimeConstraint,1
EQ_LOT_135,PrioritizeRocketLot,5
EQ_LOT_135,PrioritizeHotLot,6
EQ_LOT_135,PrioritizeRework,9
EQ_LOT_135,PrioritizeLongWait,10
EQ_LOT_135,PrioritizeStepDue,12
EQ_WAFER_415,PrioritizeQueueTimeConstraint,1
EQ_WAFER_415,PrioritizeRocketLot,5
EQ_WAFER_415,PrioritizeHotLot,6
EQ_WAFER_415,PrioritizeRework,9
EQ_WAFER_415,PrioritizeLongWait,10
EQ_WAFER_415,PrioritizeStepDue,12
EQ_WAFER_415,PrioritizeSameSetup,17
EQ_WAFER_416,PrioritizeQueueTimeConstraint,1
EQ_WAFER_416,PrioritizeRocketLot,5
EQ_WAFER_416,PrioritizeHotLot,6
EQ_WAFER_416,PrioritizeRework,9
EQ_WAFER_416,PrioritizeLongWait,10
EQ_WAFER_416,PrioritizeStepDue,12
EQ_WAFER_416,PrioritizeSameSetup,17
EQ_BATCH_373,PrioritizeQueueTimeConstraint,1
EQ_BATCH_373,PrioritizeRocketLot,5
EQ_BATCH_373,PrioritizeHotLot,6
EQ_BATCH_373,PrioritizeRework,9
EQ_BATCH_373,PrioritizeLongWait,10
EQ_BATCH_373,PrioritizeStepDue,12
EQ_LOT_136,PrioritizeQueueTimeConstraint,1
EQ_LOT_136,PrioritizeRocketLot,5
EQ_LOT_136,PrioritizeHotLot,6
EQ_LOT_136,PrioritizeRework,9
EQ_LOT_136,PrioritizeLongWait,10
EQ_LOT_136,PrioritizeStepDue,12
EQ_WAFER_103,PrioritizeQueueTimeConstraint,1
EQ_WAFER_103,PrioritizeRocketLot,5
EQ_WAFER_103,PrioritizeHotLot,6
EQ_WAFER_103,PrioritizeRework,9
EQ_WAFER_103,PrioritizeLongWait,10
EQ_WAFER_103,PrioritizeStepDue,12
EQ_WAFER_103,PrioritizeSameSetup,17
EQ_WAFER_103,PreferFastTool,18
EQ_WAFER_104,PrioritizeQueueTimeConstraint,1
EQ_WAFER_104,PrioritizeRocketLot,5
EQ_WAFER_104,PrioritizeHotLot,6
EQ_WAFER_104,PrioritizeRework,9
EQ_WAFER_104,PrioritizeLongWait,10
EQ_WAFER_104,PrioritizeStepDue,12
EQ_WAFER_104,PrioritizeSameSetup,17
EQ_WAFER_104,PreferFastTool,18
EQ_WAFER_105,PrioritizeQueueTimeConstraint,1
EQ_WAFER_105,PrioritizeRocketLot,5
EQ_WAFER_105,PrioritizeHotLot,6
EQ_WAFER_105,PrioritizeRework,9
EQ_WAFER_105,PrioritizeLongWait,10
EQ_WAFER_105,PrioritizeStepDue,12
EQ_WAFER_105,PrioritizeSameSetup,17
EQ_WAFER_105,PreferFastTool,18
EQ_WAFER_106,PrioritizeQueueTimeConstraint,1
EQ_WAFER_106,PreferFastTool,18
EQ_WAFER_107,PrioritizeQueueTimeConstraint,1
EQ_WAFER_107,PreferFastTool,18
EQ_WAFER_108,PrioritizeQueueTimeConstraint,1
EQ_WAFER_108,PrioritizeRocketLot,5
EQ_WAFER_108,PrioritizeHotLot,6
EQ_WAFER_108,PrioritizeRework,9
EQ_WAFER_108,PrioritizeLongWait,10
EQ_WAFER_108,PrioritizeStepDue,12
EQ_WAFER_108,PrioritizeSameSetup,17
EQ_WAFER_108,PreferFastTool,18
EQ_WAFER_109,PrioritizeQueueTimeConstraint,1
EQ_WAFER_109,PrioritizeRocketLot,5
EQ_WAFER_109,PrioritizeHotLot,6
EQ_WAFER_109,PrioritizeRework,9
EQ_WAFER_109,PrioritizeLongWait,10
EQ_WAFER_109,PrioritizeStepDue,12
EQ_WAFER_109,PrioritizeSameSetup,17
EQ_WAFER_109,PreferFastTool,18
EQ_WAFER_110,PrioritizeQueueTimeConstraint,1
EQ_WAFER_110,PrioritizeRocketLot,5
EQ_WAFER_110,PrioritizeHotLot,6
EQ_WAFER_110,PrioritizeRework,9
EQ_WAFER_110,PrioritizeLongWait,10
EQ_WAFER_110,PrioritizeStepDue,12
EQ_WAFER_111,PrioritizeQueueTimeConstraint,1
EQ_WAFER_111,PrioritizeRocketLot,5
EQ_WAFER_111,PrioritizeHotLot,6
EQ_WAFER_111,PrioritizeRework,9
EQ_WAFER_111,PrioritizeLongWait,10
EQ_WAFER_111,PrioritizeStepDue,12
EQ_WAFER_112,PrioritizeQueueTimeConstraint,1
EQ_WAFER_112,PrioritizeRocketLot,5
EQ_WAFER_112,PrioritizeHotLot,6
EQ_WAFER_112,PrioritizeRework,9
EQ_WAFER_112,PrioritizeLongWait,10
EQ_WAFER_112,PrioritizeStepDue,12
EQ_WAFER_373,PrioritizeQueueTimeConstraint,1
EQ_WAFER_373,PrioritizeRocketLot,5
EQ_WAFER_373,PrioritizeHotLot,6
EQ_WAFER_373,PrioritizeRework,9
EQ_WAFER_373,PrioritizeLongWait,10
EQ_WAFER_373,PrioritizeStepDue,12
EQ_WAFER_373,PrioritizeSameSetupWithOverride,16
EQ_WAFER_373,PreferFastTool,18
EQ_WAFER_374,PrioritizeQueueTimeConstraint,1
EQ_WAFER_374,PrioritizeRocketLot,5
EQ_WAFER_374,PrioritizeHotLot,6
EQ_WAFER_374,PrioritizeRework,9
EQ_WAFER_374,PrioritizeLongWait,10
EQ_WAFER_374,PrioritizeStepDue,12
EQ_WAFER_374,PrioritizeSameSetupWithOverride,16
EQ_WAFER_374,PreferFastTool,18
EQ_WAFER_375,PrioritizeQueueTimeConstraint,1
EQ_WAFER_375,PreferFastTool,18
EQ_WAFER_241,PrioritizeQueueTimeConstraint,1
EQ_WAFER_241,PrioritizeRocketLot,5
EQ_WAFER_241,PrioritizeHotLot,6
EQ_WAFER_241,PrioritizeRework,9
EQ_WAFER_241,PrioritizeLongWait,10
EQ_WAFER_241,PrioritizeStepDue,12
EQ_WAFER_242,PrioritizeQueueTimeConstraint,1
EQ_WAFER_242,PrioritizeRocketLot,5
EQ_WAFER_242,PrioritizeHotLot,6
EQ_WAFER_242,PrioritizeRework,9
EQ_WAFER_242,PrioritizeLongWait,10
EQ_WAFER_242,PrioritizeStepDue,12
EQ_WAFER_243,PrioritizeQueueTimeConstraint,1
EQ_WAFER_243,PrioritizeRocketLot,5
EQ_WAFER_243,PrioritizeHotLot,6
EQ_WAFER_243,PrioritizeRework,9
EQ_WAFER_243,PrioritizeLongWait,10
EQ_WAFER_243,PrioritizeStepDue,12
EQ_WAFER_244,PrioritizeQueueTimeConstraint,1
EQ_WAFER_244,PrioritizeRocketLot,5
EQ_WAFER_244,PrioritizeHotLot,6
EQ_WAFER_244,PrioritizeRework,9
EQ_WAFER_244,PrioritizeLongWait,10
EQ_WAFER_244,PrioritizeStepDue,12
EQ_WAFER_245,PrioritizeQueueTimeConstraint,1
EQ_WAFER_245,PrioritizeRocketLot,5
EQ_WAFER_245,PrioritizeHotLot,6
EQ_WAFER_245,PrioritizeRework,9
EQ_WAFER_245,PrioritizeLongWait,10
EQ_WAFER_245,PrioritizeStepDue,12
EQ_WAFER_672,PrioritizeQueueTimeConstraint,1
EQ_WAFER_672,PrioritizeRocketLot,5
EQ_WAFER_672,PrioritizeHotLot,6
EQ_WAFER_672,PrioritizeRework,9
EQ_WAFER_672,PrioritizeLongWait,10
EQ_WAFER_672,PrioritizeStepDue,12
EQ_WAFER_672,PrioritizeSameSetup,17
EQ_WAFER_672,PreferFastTool,18
EQ_WAFER_673,PrioritizeQueueTimeConstraint,1
EQ_WAFER_673,PreferFastTool,18
EQ_WAFER_42,PrioritizeQueueTimeConstraint,1
EQ_WAFER_42,PrioritizeRocketLot,5
EQ_WAFER_42,PrioritizeHotLot,6
EQ_WAFER_42,PrioritizeRework,9
EQ_WAFER_42,PrioritizeLongWait,10
EQ_WAFER_42,PrioritizeStepDue,12
EQ_LOT_76,PrioritizeQueueTimeConstraint,1
EQ_LOT_76,PrioritizeRocketLot,5
EQ_LOT_76,PrioritizeHotLot,6
EQ_LOT_76,PrioritizeRework,9
EQ_LOT_76,PrioritizeLongWait,10
EQ_LOT_76,PrioritizeStepDue,12
EQ_LOT_76,PrioritizeSameSetup,17
EQ_LOT_76,PreferFastTool,18
EQ_LOT_77,PrioritizeQueueTimeConstraint,1
EQ_LOT_77,PrioritizeRocketLot,5
EQ_LOT_77,PrioritizeHotLot,6
EQ_LOT_77,PrioritizeRework,9
EQ_LOT_77,PrioritizeLongWait,10
EQ_LOT_77,PrioritizeStepDue,12
EQ_WAFER_640,PrioritizeQueueTimeConstraint,1
EQ_WAFER_640,PrioritizeRocketLot,5
EQ_WAFER_640,PrioritizeHotLot,6
EQ_WAFER_640,PrioritizeRework,9
