EQPT_ID,RECIPE,REMARK
EQ_WAFER_373,REC_WAFER_535,
EQ_WAFER_373,REC_WAFER_542,
EQ_WAFER_374,REC_WAFER_433,
EQ_WAFER_374,REC_WAFER_441,
EQ_WAFER_374,REC_WAFER_449,
EQ_WAFER_374,REC_WAFER_457,
EQ_WAFER_374,REC_WAFER_465,
EQ_WAFER_374,REC_WAFER_473,
EQ_WAFER_374,REC_WAFER_481,
EQ_WAFER_374,REC_WAFER_507,
EQ_WAFER_374,REC_WAFER_514,
EQ_WAFER_374,REC_WAFER_521,
EQ_WAFER_374,REC_WAFER_528,
EQ_WAFER_374,REC_WAFER_535,
EQ_WAFER_374,REC_WAFER_542,
EQ_WAFER_375,REC_WAFER_433,
EQ_WAFER_375,REC_WAFER_441,
EQ_WAFER_375,REC_WAFER_449,
EQ_WAFER_375,REC_WAFER_457,
EQ_WAFER_375,REC_WAFER_465,
EQ_WAFER_375,REC_WAFER_473,
EQ_WAFER_375,REC_WAFER_481,
EQ_WAFER_375,REC_WAFER_507,
EQ_WAFER_375,REC_WAFER_514,
EQ_WAFER_375,REC_WAFER_521,
EQ_WAFER_375,REC_WAFER_528,
EQ_WAFER_375,REC_WAFER_535,
EQ_WAFER_375,REC_WAFER_542,
EQ_WAFER_241,REC_WAFER_23,
EQ_WAFER_241,REC_WAFER_373,
EQ_WAFER_241,REC_WAFER_498,
EQ_WAFER_241,REC_WAFER_585,
EQ_WAFER_241,REC_WAFER_662,
EQ_WAFER_241,REC_WAFER_722,
EQ_WAFER_241,REC_WAFER_778,
EQ_WAFER_241,REC_WAFER_825,
EQ_WAFER_241,REC_WAFER_870,
EQ_WAFER_241,REC_WAFER_37,
EQ_WAFER_241,REC_WAFER_81,
EQ_WAFER_241,REC_WAFER_125,
EQ_WAFER_241,REC_WAFER_163,
EQ_WAFER_241,REC_WAFER_197,
EQ_WAFER_242,REC_WAFER_23,
EQ_WAFER_242,REC_WAFER_373,
EQ_WAFER_242,REC_WAFER_498,
EQ_WAFER_242,REC_WAFER_585,
EQ_WAFER_242,REC_WAFER_662,
EQ_WAFER_242,REC_WAFER_722,
EQ_WAFER_242,REC_WAFER_778,
EQ_WAFER_242,REC_WAFER_825,
EQ_WAFER_242,REC_WAFER_870,
EQ_WAFER_242,REC_WAFER_37,
EQ_WAFER_242,REC_WAFER_81,
EQ_WAFER_242,REC_WAFER_125,
EQ_WAFER_242,REC_WAFER_163,
EQ_WAFER_242,REC_WAFER_197,
EQ_WAFER_243,REC_WAFER_23,
EQ_WAFER_243,REC_WAFER_373,
EQ_WAFER_243,REC_WAFER_498,
EQ_WAFER_243,REC_WAFER_585,
EQ_WAFER_243,REC_WAFER_662,
EQ_WAFER_243,REC_WAFER_722,
EQ_WAFER_243,REC_WAFER_778,
EQ_WAFER_243,REC_WAFER_825,
EQ_WAFER_244,REC_WAFER_23,
EQ_WAFER_244,REC_WAFER_373,
EQ_WAFER_244,REC_WAFER_498,
EQ_WAFER_244,REC_WAFER_585,
EQ_WAFER_244,REC_WAFER_662,
EQ_WAFER_244,REC_WAFER_722,
EQ_WAFER_244,REC_WAFER_778,
EQ_WAFER_244,REC_WAFER_825,
EQ_WAFER_672,REC_WAFER_549,
EQ_WAFER_672,REC_WAFER_556,
EQ_WAFER_672,REC_WAFER_563,
EQ_WAFER_673,REC_WAFER_549,
EQ_WAFER_673,REC_WAFER_556,
EQ_WAFER_673,REC_WAFER_563,
EQ_WAFER_42,REC_WAFER_231,
EQ_WAFER_42,REC_WAFER_262,
EQ_WAFER_42,REC_WAFER_292,
EQ_WAFER_42,REC_WAFER_322,
EQ_WAFER_42,REC_WAFER_344,
EQ_WAFER_42,REC_WAFER_384,
EQ_WAFER_42,REC_WAFER_404,
EQ_LOT_76,REC_LOT_6,
EQ_LOT_76,REC_LOT_227,
EQ_LOT_76,REC_LOT_345,
EQ_LOT_76,REC_LOT_58,
EQ_LOT_76,REC_LOT_74,
EQ_LOT_76,REC_LOT_87,
EQ_LOT_76,REC_LOT_127,
EQ_LOT_76,REC_LOT_137,
EQ_LOT_76,REC_LOT_142,
EQ_LOT_76,REC_LOT_147,
EQ_LOT_77,REC_LOT_167,
EQ_LOT_77,REC_LOT_171,
EQ_LOT_77,REC_LOT_243,
EQ_LOT_77,REC_LOT_247,
EQ_LOT_77,REC_LOT_251,
EQ_WAFER_640,REC_WAFER_364,
EQ_WAFER_640,REC_WAFER_490,
EQ_WAFER_640,REC_WAFER_578,
EQ_WAFER_641,REC_WAFER_364,
EQ_WAFER_641,REC_WAFER_490,
EQ_WAFER_641,REC_WAFER_578,
