PeriodNumber,PeriodStartTime,PeriodEndTime,EquipmentGroup,StartedLots,StartedWafers,CompletedLots,CompletedWafers,ScrappedCount,ScrappedWafers,TotalCycleTime,AvgCycleTime,StdDevCycleTime,TotalQueueTime,AvgQueueTime,StdDevQueueTime,AvgProcTime,StdDevProcessTime,NoOperatorIdleTime,NoReticleIdleTime,AvgWIPLots,AvgWIPWafers,TotalEqptGroupProdTime,TotalProdTime,PROD(%),TotalSDTime,SD(%),TotalUDTime,UD(%),TotalEngrTime,ENGR(%),TotalIdleTime,IDLE(%),TotalSetupTime,TotalLoad/UnloadTime,AvgBatchSize,StdDevBatchSize,MaxBatchSize,NoOfBatchFormed,AvgTrainSize,MaxTrainSize,PartialCompleteLot,StartWIPLots,StartWIPWafers,EndWIPLots,EndWIPWafers,ArrivalLots,ArrivalWafers,EqptQty,Fab,VALID_STAT,TotalOperationTime,TotalAvailProdLossTime,AvgBatchEfficiency,TotalTravelTime,AvgTravelTime,TotalNSTime,NST(%),AvgIntervalTime,UTIL(%),StdDevEqptUtil,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_LOT_1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.97,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,959.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_LOT_2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1439.95,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,1439.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68637.62,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,68637.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_23,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15839.45,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,15839.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4319.85,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,4319.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1439.95,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,1439.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9599.67,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,9599.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.97,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,959.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_28,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_29,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.97,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,959.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_30,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_31,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.97,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,959.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_WAFER_32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7199.75,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,7199.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.98,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,479.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1439.95,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,1439.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.97,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,959.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0,23/01/2022 00:00:01,23/01/2022 08:00:00,EG_BATCH_9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8639.70,100.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,SIMTECH,TRUE,8639.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
